cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2018","5/14/2018","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","49","349891","41450","38770","31819","298","246106","1894","0","5087","160","2379","22592","349891","300660","295087","214013","295087","77.0657370045501","0","0","0","0","5573","49231","49231","0","13242","33764","2225","0","5852","0","583","316993","95071","352240.5","352240.5","241371","342548","13966","4163","0","9803","17415","5275","0","0","33703","43676","2152","33703","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2018","5/14/2018","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","19","102242","6106","5390","2778","0","87093","749","0","1985","3434","0","846","102242","91901","84629","69042","84629","82.3769040028339","0","0","7150","0","122","10341","10341","0","534","16797","-6990","0","536","0","200","95261","7710","101895","101895","87688","101907","0","0","0","0","9597","2330","7150","0","9292","10370","749","9292","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2018","5/14/2018","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","9","51080","27121","24427","0","0","22468","768","0","892","0","0","599","51080","44499","44401","32602","44401","89.3914492198933","0","0","0","0","98","6581","6581","0","657","4443","1481","0","75","0","343","46895","92","51053","51053","25045","51417","0","0","0","0","551","0","0","0","3792","6581","319","3792","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2018","5/14/2018","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","40","152209","9945","2296","41424","6095","88408","1124","0","5093","0","0","1244","152209","137469","137166","88119","137166","78.4631419367065","0","0","0","0","303","14740","14740","0","500","752","13488","0","97","0","793","138223","42108","149930.5","149930.5","80997","149810","0","0","0","0","2816","457","0","0","1947","15095","1013","1947","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","3/31/2018","5/14/2018","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","14","40927","11676","10857","9203","0","19061","199","0","389","71","0","527","40927","37519","36889","29401","36889","89.917901753055","589","0","0","0","41","3408","3408","0","300","300","2808","0","315","0","165","39121","8192","40624","40624","18104","40620","0","0","0","0","2621","109","0","0","1426","3491","199","1426","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2018","5/14/2018","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","253146","49048","46074","22413","3000","163310","964","0","5167","619","0","9589","253145","228061","222454","185650","222454","70.7911534657916","0","0","0","0","5607","25084","25084","0","100","0","24984","0","3532","0","544","234797","123830","250153.5","250153.5","135658","252065","6037","4667","0","1370","12465","7011","0","0","23585","25084","964","23585","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2018","5/14/2018","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","65","318111","46989","36917","18479","4430","229736","2179","0","5071","66","3094","10246","318111","285131","283073","157021","283073","77.2451578490005","0","0","0","0","2058","32980","32980","0","5165","13820","13995","0","2456","0","897","289562","133843","315356","315356","260214","319215","7308","4313","0","2995","7620","5444","0","0","52653","30718","2193","52653","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2018","5/14/2018","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","15","63149","19880","18726","15992","0","26272","246","0","670","0","0","335","63149","58057","48770","39072","48770","81.4506539833531","8931","0","0","0","356","5092","5092","0","500","1338","3254","0","215","0","192","60990","10287","60483","60483","23802","59276","0","0","0","0","11217","63","0","0","3209","5092","246","3209","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","3/31/2018","5/14/2018","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","83","596795","59688","47668","71299","0","447088","6410","0","2315","0","90","16315","596795","543904","542065","305707","542065","50.8451657771965","0","0","0","0","1839","52891","52891","0","48088","2222","2581","0","252","0","1525","566055","176691","588513.5","588513.5","415231","585248","7706","0","0","7706","4373","10457","0","1000","77386","53515","5207","77386","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2018","5/14/2018","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","59","526514","16298","15728","113376","30","382353","5106","0","963","0","0","13494","526514","487600","475423","413785","475423","51.9240110778626","10437","0","0","0","1740","38914","38914","0","1025","16200","21689","0","2390","0","1596","511487","187981","533246.5","533246.5","346302","534557","8493","7221","0","1272","59628","950","0","4356","61537","39329","4339","61537","0"
